country,year_1914,year_1915,year_1916,year_1917,year_1918,year_1919,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Eritrea,30.2,30.2,30.2,30.2,11.67957891,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,31.2524,32.3048,33.3572,34.4096,35.461999999999996,35.556999999999995,35.747,35.939,36.132,36.328
Estonia,47.5,44.5,44.3,37.0,35.0,37.72210619,46.36024886,52.59408851,51.7,53.30647399,54.15654423,54.92133783,52.49229197,50.06416257,53.02322163,51.60505259,54.80679423,54.00788161,55.77072926,56.79239637,57.42707336,56.272,56.75668509,57.67494133,58.96234708,58.3,56.8,46.0,54.4,54.0,31.0,46.1,54.0,47.0,57.7,58.2,58.62511713,59.87037804,61.08032096,63.65201158,64.99005086,65.67240271
Ethiopia,29.7,29.7,29.7,29.7,11.4862084,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,27.5,23.0,29.0,29.0,29.0,28.0,28.0,29.7,29.7,29.7,29.7,30.42,31.14,31.86,32.58,33.3,33.469,33.833,34.249,34.718,35.238
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,26.1,26.1,26.1,26.1,6.615631874,26.1,26.1,26.1,26.1,26.1,26.1,26.1,27.10036,28.100720000000003,29.10108,30.101440000000004,31.1018,32.10216,33.10252,34.10288,35.10324,36.1036,37.10396,38.10432,39.10468,40.10504,41.1054,42.10576,43.106120000000004,44.10648,45.106840000000005,46.1072,47.10756,48.10792,49.10828,50.10864,51.108999999999995,51.391000000000005,51.946999999999996,52.488,53.013000000000005,53.523
Finland,49.73,49.54,48.03,46.49,32.71,43.07,47.55,52.41,51.92,52.52,50.22,53.42,53.83,51.86,53.71,51.28,54.47,54.88,55.79,55.45,56.04,57.36,56.16,57.1,57.2,54.67,46.65,46.5,53.9,56.27,48.0,57.19,60.27,60.53,61.99,61.88,64.24,65.67,66.55,66.61,67.57,67.37
France,37.85,35.63,39.51,42.6,34.34,47.52,51.6,52.69,54.92,54.65,55.27,54.39,54.03,55.8,55.44,54.27,56.87,56.93,57.26,57.7,58.36,58.32,58.81,59.17,58.97,59.62,49.45,57.67,57.44,53.33,47.19,54.96,62.38,63.98,65.83,64.92,66.39,66.12,67.41,67.34,68.21,68.47
French Guiana,30.5,30.5,30.5,30.5,26.96249024,30.5,30.5,30.5,30.5,30.5,30.5,30.5,31.37,32.24,33.11,33.98,34.85,35.72,36.59,37.46,38.33,39.2,40.07,40.94,41.81,42.68,43.55,44.42,45.29,46.16,47.03,47.9,48.77,49.64,50.51,51.38,52.25,52.515,53.048,53.583,54.122,54.665
French Polynesia,25.6,25.6,25.6,25.6,1.0,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.39992,27.199840000000002,27.99976,28.79968,29.5996,30.399520000000003,31.199440000000003,31.99936,32.799279999999996,33.5992,34.39912,35.199040000000004,35.99896,36.79888,37.5988,38.398720000000004,39.198640000000005,39.99856,40.79848,41.5984,42.39832,43.198240000000006,43.99816,44.79808,45.598,46.522,48.281000000000006,49.863,51.266999999999996,52.495
